import time: self [us] | cumulative | imported package
import time:      1054 |       1643 |             fastapi.background
import time:       867 |        867 |             fastapi.concurrency
import time:      1354 |       1354 |             fastapi.utils
import time:      3463 |       3463 |                 _hashlib
import time:       258 |        258 |                 _blake2
import time:      1184 |       4904 |               hashlib
import time:       341 |        341 |                 _winapi
import time:       266 |        266 |                 winreg
import time:      1226 |       1832 |               mimetypes
import time:       945 |        945 |                 hmac
import time:      1296 |       2240 |               secrets
import time:      2334 |      11309 |             starlette.responses
import time:      1423 |       1423 |             starlette.websockets
import time:      6271 |      22864 |           fastapi.dependencies.utils
import time:      1238 |       1238 |               colorsys
import time:      2383 |       3620 |             pydantic.color
import time:       322 |        322 |               pydantic_extra_types
import time:       104 |        425 |             pydantic_extra_types.color
import time:      1831 |       5876 |           fastapi.encoders
import time:      7065 |       7065 |           fastapi.sse
import time:      1035 |       1035 |             starlette._exception_handler
import time:      2512 |       2512 |             starlette.convertors
import time:      1044 |       1044 |             starlette.middleware
import time:      3455 |       8045 |           starlette.routing
import time:      9299 |    1054748 |         fastapi.routing
import time:       390 |        390 |           fastapi.websockets
import time:       627 |       1016 |         fastapi.exception_handlers
import time:       452 |        452 |           fastapi.middleware
import time:       688 |       1139 |         fastapi.middleware.asyncexitstack
import time:      1332 |       1332 |         fastapi.openapi.docs
import time:      1872 |       1872 |               email.feedparser
import time:       776 |       2647 |             email.parser
import time:     11431 |      14077 |           http.client
import time:      1416 |       1416 |             orjson.orjson
import time:      3253 |       4669 |           fastapi.responses
import time:      1578 |      20323 |         fastapi.openapi.utils
import time:      1293 |       1293 |           starlette.middleware.base
import time:      3609 |       3609 |               html.entities
import time:      1529 |       5137 |             html
import time:       782 |       5918 |           starlette.middleware.errors
import time:       702 |        702 |           starlette.middleware.exceptions
import time:      1230 |       9141 |         starlette.applications
import time:      7435 |    1096699 |       fastapi.applications
import time:       595 |        595 |       fastapi.requests
import time:       822 |    1099206 |     fastapi
import time:      1221 |       1221 |       starlette.staticfiles
import time:       458 |       1678 |     fastapi.staticfiles
import time:       705 |        705 |         numpy.version
import time:       565 |        565 |         numpy._expired_attrs_2_0
import time:       535 |        535 |             numpy._utils._convertions
import time:       512 |       1047 |           numpy._utils
import time:      1229 |       2275 |         numpy._globals
import time:       127 |        127 |           numpy._distributor_init_local
import time:       575 |        702 |         numpy._distributor_init
import time:      1063 |       1063 |                   numpy.exceptions
import time:      1040 |       1040 |                   numpy._core._exceptions
import time:       415 |        415 |                   numpy._core.printoptions
import time:      1011 |       1011 |                   numpy.dtypes
import time:     22317 |      25845 |                 numpy._core._multiarray_umath
import time:       775 |        775 |                   numpy._utils._inspect
import time:      1511 |       2285 |                 numpy._core.overrides
